NAMESPACE              NAME                                            DESCRIPTION                                                                        PARAMETERS        OBJECTS
openshift              jws31-tomcat8-basic-s2i                         An example JBoss Web Server application. For more information about using thi...   12 (3 blank)      5
openshift              jws31-tomcat8-https-s2i                         An example JBoss Web Server application. For more information about using thi...   17 (5 blank)      7
openshift              jws31-tomcat8-mongodb-persistent-s2i            An example JBoss Web Server application with a MongoDB database. For more inf...   30 (12 blank)     10
openshift              jws31-tomcat8-mongodb-s2i                       Application template for JWS MongoDB applications built using S2I.                 29 (12 blank)     9
openshift              jws31-tomcat8-mysql-persistent-s2i              An example JBoss Web Server application with a MySQL database. For more infor...   31 (13 blank)     10
openshift              jws31-tomcat8-mysql-s2i                         Application template for JWS MySQL applications built using S2I.                   30 (13 blank)     9
openshift              jws31-tomcat8-postgresql-persistent-s2i         Application template for JWS PostgreSQL applications with persistent storage...    28 (10 blank)     10
openshift              jws31-tomcat8-postgresql-s2i                    Application template for JWS PostgreSQL applications built using S2I.              27 (10 blank)     9
openshift              mariadb-ephemeral                               MariaDB database service, without persistent storage. For more information ab...   8 (3 generated)   3
openshift              mariadb-persistent                              MariaDB database service, with persistent storage. For more information about...   9 (3 generated)   4
openshift              mongodb-ephemeral                               MongoDB database service, without persistent storage. For more information ab...   8 (3 generated)   3
openshift              mongodb-persistent                              MongoDB database service, with persistent storage. For more information about...   9 (3 generated)   4
openshift              mysql-ephemeral                                 MySQL database service, without persistent storage. For more information abou...   8 (3 generated)   3
openshift              mysql-persistent                                MySQL database service, with persistent storage. For more information about u...   9 (3 generated)   4
openshift              nginx-example                                   An example Nginx HTTP server and a reverse proxy (nginx) application that ser...   10 (3 blank)      5
openshift              nodejs-mongo-persistent                         An example Node.js application with a MongoDB database. For more information...    17 (4 blank)      9
openshift              nodejs-mongodb-example                          An example Node.js application with a MongoDB database. For more information...    16 (4 blank)      8
openshift              openjdk18-web-basic-s2i                         An example Java application using OpenJDK 8. For more information about using...   8 (1 blank)       5
openshift              postgresql-ephemeral                            PostgreSQL database service, without persistent storage. For more information...   7 (2 generated)   3
openshift              postgresql-persistent                           PostgreSQL database service, with persistent storage. For more information ab...   8 (2 generated)   4
openshift              processserver64-amq-mysql-persistent-s2i        An example BPM Suite application with A-MQ and a MySQL database. For more inf...   49 (13 blank)     14
openshift              processserver64-amq-mysql-s2i                   An example BPM Suite application with A-MQ and a MySQL database. For more inf...   47 (13 blank)     12
openshift              processserver64-amq-postgresql-persistent-s2i   An example BPM Suite application with A-MQ and a PostgreSQL database. For mor...   46 (10 blank)     14
openshift              processserver64-amq-postgresql-s2i              An example BPM Suite application with A-MQ and a PostgreSQL database. For mor...   44 (10 blank)     12
openshift              processserver64-basic-s2i                       An example BPM Suite application. For more information about using this templ...   18 (5 blank)      5
openshift              processserver64-mysql-persistent-s2i            An example BPM Suite application with a MySQL database. For more information...    40 (14 blank)     10
openshift              processserver64-mysql-s2i                       An example BPM Suite application with a MySQL database. For more information...    39 (14 blank)     9
openshift              processserver64-postgresql-persistent-s2i       An example BPM Suite application with a PostgreSQL database. For more informa...   37 (11 blank)     10
openshift              processserver64-postgresql-s2i                  An example BPM Suite application with a PostgreSQL database. For more informa...   36 (11 blank)     9
openshift              rails-pgsql-persistent                          An example Rails application with a PostgreSQL database. For more information...   21 (4 blank)      9
openshift              rails-postgresql-example                        An example Rails application with a PostgreSQL database. For more information...   20 (4 blank)      8
openshift              redis-ephemeral                                 Redis in-memory data structure store, without persistent storage. For more in...   5 (1 generated)   3
openshift              redis-persistent                                Redis in-memory data structure store, with persistent storage. For more infor...   6 (1 generated)   4
openshift              registry-console                                Template for deploying registry web console. Requires cluster-admin.               8 (3 blank)       3
openshift              s2i-karaf2-camel-amq                            Camel route using ActiveMQ in Karaf container. This quickstart shows how to u...   18 (4 blank)      3
openshift              s2i-karaf2-camel-log                            A simple Camel route in Karaf container. This quickstart shows a simple Apach...   15 (2 blank)      3
openshift              s2i-karaf2-camel-rest-sql                       Camel example using Rest DSL with SQL Database in Karaf container.  This exam...   18 (4 blank)      5
openshift              s2i-karaf2-cxf-rest                             REST example using CXF in Karaf container. This quickstart demonstrates how t...   14 (2 blank)      5
openshift              s2i-spring-boot-camel                           Spring-Boot and Camel QuickStart. This example demonstrates how you can use A...   12 (2 blank)      3
openshift              s2i-spring-boot-camel-amq                       Spring Boot, Camel and ActiveMQ QuickStart. This quickstart demonstrates how...    15 (4 blank)      3
openshift              s2i-spring-boot-camel-config                    Spring Boot and Camel using ConfigMaps and Secrets. This quickstart demonstra...   13 (2 blank)      3
openshift              s2i-spring-boot-camel-drools                    Spring-Boot, Camel and JBoss BRMS QuickStart. This example demonstrates how y...   15 (3 blank)      3
openshift              s2i-spring-boot-camel-infinispan                Spring Boot, Camel and JBoss Data Grid QuickStart. This quickstart demonstrat...   13 (2 blank)      3
openshift              s2i-spring-boot-camel-rest-sql                  Spring Boot, Camel REST DSL and MySQL QuickStart. This quickstart demonstrate...   17 (4 blank)      5
openshift              s2i-spring-boot-camel-teiid                     Spring-Boot, Camel and JBoss Data Virtualization QuickStart. This example dem...   16 (4 blank)      3
openshift              s2i-spring-boot-camel-xml                       Spring-Boot and Camel Xml QuickStart. This example demonstrates how you can u...   12 (2 blank)      3
openshift              s2i-spring-boot-cxf-jaxrs                       Spring-Boot and CXF JAXRS QuickStart. This example demonstrates how you can u...   13 (2 blank)      5
openshift              s2i-spring-boot-cxf-jaxws                       Spring-Boot and CXF JAXWS QuickStart. This example demonstrates how you can u...   13 (2 blank)      5
openshift              sso72-https                                     An example RH-SSO 7 application. For more information about using this templa...   26 (15 blank)     6
openshift              sso72-mysql                                     An example RH-SSO 7 application with a MySQL database. For more information a...   36 (20 blank)     8
openshift              sso72-mysql-persistent                          An example RH-SSO 7 application with a MySQL database. For more information a...   37 (20 blank)     9
openshift              sso72-postgresql                                An example RH-SSO 7 application with a PostgreSQL database. For more informat...   33 (17 blank)     8
openshift              sso72-postgresql-persistent                     An example RH-SSO 7 application with a PostgreSQL database. For more informat...   34 (17 blank)     9
openshift              sso72-x509-https                                An example RH-SSO 7 application. For more information about using this templa...   12 (6 blank)      4
openshift              sso72-x509-mysql-persistent                     An example RH-SSO 7 application with a MySQL database. For more information a...   23 (11 blank)     7
openshift              sso72-x509-postgresql-persistent                An example RH-SSO 7 application with a PostgreSQL database. For more informat...   20 (8 blank)      7
openshift              system                                                                                                                             20 (1 blank)      34
